STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DT00,DT32,DX32,DX70,DX90,EMNT,EMXP,EMXT,HTDD,PRCP,TAVG,TMAX,TMIN
IN005030100,"DEESA, IN",24.2,72.2,136,2025-03,966.0,558.0,22.31578947,17.84210526,0,0,0,31.0,30.0,56.0,6.698421053,107.0,0.0,24.45368421,83.4,99.1,67.7
IN005030100,"DEESA, IN",24.2,72.2,136,2025-04,1738.0,771.0,22.31578947,17.84210526,0,0,0,30.0,30.0,67.0,6.698421053,110.0,0.0,24.45368421,90.7,106.1,75.3
IN005030100,"DEESA, IN",24.2,72.2,136,2025-05,2430.0,693.0,22.31578947,17.84210526,0,0,0,31.0,31.0,69.0,6.698421053,109.0,0.0,24.45368421,90.8,100.8,80.7
IN024090600,"MALDA, IN",25.033,88.133,31,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,63.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,71.0
IN024090600,"MALDA, IN",25.033,88.133,31,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,70.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,77.0
IN018103100,"PATIALA, IN",30.333,76.467,251,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,47.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,56.5
IN018103100,"PATIALA, IN",30.333,76.467,251,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,57.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,69.8
IN005100400,"PORBANDAR, IN",21.65,69.667,7,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,58.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,66.9
IN005100400,"PORBANDAR, IN",21.65,69.667,7,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,66.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,72.6
IN005100400,"PORBANDAR, IN",21.65,69.667,7,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,69.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,79.4
IN012041000,"AURANGABAD CHIKALTH, IN",19.85,75.4,579,2025-03,925.6964286,508.0,22.31578947,17.84210526,0,0,0,28.0,28.0,54.0,6.698421053,103.0,0.0,24.45368421,84.5,99.3,69.6
IN012041000,"AURANGABAD CHIKALTH, IN",19.85,75.4,579,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.0,27.0,68.0,6.698421053,109.0,12.28888889,24.45368421,90.9,104.7,77.1
IN005150100,"RAJKOT, IN",22.3,70.783,138,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,57.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,67.7
IN005150100,"RAJKOT, IN",22.3,70.783,138,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,69.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,74.4
IN005150100,"RAJKOT, IN",22.3,70.783,138,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,66.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,78.0
IN019040100,"BARMER, IN",25.75,71.383,194,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,55.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,69.0
IN019040100,"BARMER, IN",25.75,71.383,194,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,68.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,81.7
IN018091100,"LUDHIANA, IN",30.867,75.933,255,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,50.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,56.3
IN018091100,"LUDHIANA, IN",30.867,75.933,255,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,68.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,76.7
IN001020700,"PBO ANANTAPUR, IN",14.583,77.633,364,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,63.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,72.1
IN001020700,"PBO ANANTAPUR, IN",14.583,77.633,364,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,73.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,77.3
IN001020700,"PBO ANANTAPUR, IN",14.583,77.633,364,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,70.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,76.9
